level,min_draw_size,W,F,SF,QF,R16,R32,R64,R128,RR
G,0,2000,1200,720,360,180,90,45,10,
F,0,1500,1000,600,,,,,,200
M,56,1000,600,360,180,90,70,25,10,
M,0,1000,600,360,180,90,45,10,,
A,32,500,300,180,90,45,20,10,,
A,0,500,300,180,90,45,10,,,
B,32,250,150,90,45,20,12,,,
B,0,250,150,90,45,20,5,,,
